Replacement,Original
I,i
January,january
February,february
April,april
June,june
July,july
August,august
September,september
October,october
November,november
December,december
Sunday,sunday
Monday,monday
Tuesday,tuesday
Wednesday,wednesday
Thursday,thursday
Friday,friday
Saturday,saturday
Jose,jose
Spanner,spanner
CL,cl
Bismuth,bismuth
Gaia,gaya
Gaia,gaia
see,se
Narasimman,Norseman
OAuth,oauth
OAuth,oot
doc,dock
rollback-safe,rollback safe
presubmit,pre submit
OhmConnect,om connect
OhmConnect,oh connect
Elena,elena
Cadir,kadir
Ethan,ethan
Renew Home,renew home
Renew Home,renewed home
Renew Home's,renew homes
Google,google
